commodity,region_id,year,month,month_label,n_observations,season_pct_elapsed,ndvi_eom,ndvi_month_mean,ndvi_month_std,ndvi_month_min,ndvi_month_max,lswi_eom,lswi_month_mean,velocity_eom,velocity_month_mean,peak_ndvi,peak_ndvi_date,yield_surprise,surprise_pct,calibration_r2,tercile_mean_early,tercile_mean_mid,tercile_mean_late,ndvi_zscore,ndvi_pct_rank,hist_ndvi_mean,hist_ndvi_std,hist_n_years
corn,illinois_us,2026,5,May 2026,15,14.4,0.2841,0.2622666666666667,0.03327737684259096,0.214,0.2975,-0.0117,-0.04532000000000002,0.01875,0.02307133333333333,0.2944,2026-05-02,,,,0.2944,,0.2841,-1.603,0.0,0.4569,0.1078,7
corn,iowa_us,2026,5,May 2026,20,16.7,0.326,0.26148,0.08188707628898405,0.1743,0.4249,0.0202,-0.055230000000000015,0.00531,0.009107368421052635,0.326,2026-05-17,,,,0.2152,,0.326,-0.212,37.5,0.3414,0.0728,8
corn,iowa_us,2026,6,Jun 2026,1,17.2,0.326,0.326,,0.326,0.326,0.0202,0.0202,0.00531,0.00531,0.326,2026-05-17,,,,0.2152,,0.326,-1.739,0.0,0.5021,0.1013,8
cotton,north_texas_us,2026,5,May 2026,17,16.7,0.187,0.1387235294117647,0.029352822040899333,0.1232,0.2362,-0.0847,-0.09353529411764705,0.00861,-0.0066168749999999995,0.187,2026-05-17,,,,0.1257,,0.187,,,,,0
cotton,north_texas_us,2026,6,Jun 2026,1,17.2,0.187,0.187,,0.187,0.187,-0.0847,-0.0847,0.00861,0.00861,0.187,2026-05-17,,,,0.1257,,0.187,,,,,0
cotton,south_texas_us,2026,4,Apr 2026,10,9.4,0.2189,0.22248,0.022968326016494976,0.1619,0.242,-0.0738,-0.07909999999999999,-0.01563,-0.016261000000000005,0.2189,2026-04-01,,,,,,,,,,,0
cotton,south_texas_us,2026,5,May 2026,18,33.3,0.1168,0.20600555555555558,0.08568951114495542,0.0901,0.2983,-0.0656,-0.03473333333333333,-0.00093,0.00221,0.2652,2026-05-03,,,,0.182,0.2652,0.1168,,,,,0
cotton,south_texas_us,2026,6,Jun 2026,1,33.9,0.1168,0.1168,,0.1168,0.1168,-0.0656,-0.0656,-0.00093,-0.00093,0.2652,2026-05-03,,,,0.182,0.2652,0.1168,,,,,0
cotton,xinjiang_north_cn,2026,5,May 2026,6,15.0,0.1659,0.08338333333333332,0.04383397844899167,0.0362,0.1659,-0.0534,-0.09044999999999999,-0.01055,-0.0038699999999999997,0.1659,2026-05-17,,,,0.1222,,0.1659,,,,,0
cotton,xinjiang_tarim_cn,2026,4,Apr 2026,11,10.0,0.0423,0.04405454545454546,0.0046478734140171325,0.0408,0.0565,-0.0873,-0.07746363636363637,,-0.002718888888888889,0.0423,2026-04-17,,,,0.0408,,0.0423,,,,,0
cotton,xinjiang_tarim_cn,2026,5,May 2026,9,31.7,0.0352,0.04424444444444445,0.005734568665364273,0.0352,0.0533,-0.0954,-0.03598888888888888,0.00018,0.004012222222222223,0.0408,2026-04-01,,,,0.0376,0.0397,0.0352,,,,,0
soy,illinois_us,2026,5,May 2026,16,14.4,0.2844,0.263875,0.03258006547977868,0.2143,0.2981,-0.0114,-0.037893750000000004,0.0183,0.021634375,0.2941,2026-05-02,,,,0.2941,,0.2844,-1.262,0.0,0.4363,0.1204,7
soy,mato_grosso_br,2026,3,Mar 2026,19,100.0,0.4332,0.4258526315789473,0.028399048662099236,0.3574,0.4599,0.1165,0.11404210526315789,0.0415,0.007445263157894737,0.4974,2026-01-05,,,,0.3721,0.4773,0.4431,-1.038,20.0,0.5876,0.1487,5
wheat,kansas_us,2026,3,Mar 2026,19,16.7,0.2246,0.17559473684210528,0.03390982279327547,0.1165,0.2283,-0.0858,-0.11648421052631579,-0.00308,0.0058473684210526315,0.2246,2026-03-17,,,,0.1877,,0.2246,-0.292,25.0,0.2423,0.0606,8
wheat,kansas_us,2026,4,Apr 2026,8,26.7,0.2143,0.22357500000000002,0.022630747099592504,0.2112,0.2791,-0.0825,-0.07703750000000001,0.0364,0.0306325,0.2236,2026-03-17,,,,0.1877,0.2236,0.2143,-1.364,12.5,0.2977,0.0611,8
wheat,kansas_us,2026,5,May 2026,20,50.6,0.25,0.22395,0.0534519311846487,0.1666,0.4002,-0.0733,-0.06955499999999999,0.01557,0.010895499999999999,0.2757,2026-04-18,,,,0.2057,0.245,0.2587,-1.66,0.0,0.3905,0.0846,8
wheat,kansas_us,2026,6,Jun 2026,1,51.1,0.25,0.25,,0.25,0.25,-0.0733,-0.0733,0.01557,0.01557,0.2757,2026-04-18,,,,0.2057,0.245,0.2587,-2.291,0.0,0.4058,0.068,8
wheat,rostov_ru,2026,3,Mar 2026,23,16.7,0.1661,0.16323043478260868,0.005593619318035401,0.1465,0.175,-0.145,-0.1027,0.01985,0.01955739130434782,0.1696,2026-03-04,,,,0.1696,,0.1661,-0.475,33.3,0.2033,0.0783,6
wheat,rostov_ru,2026,4,Apr 2026,11,33.3,0.2882,0.22113636363636366,0.027678738147801203,0.1661,0.2882,-0.0078,-0.07683636363636365,0.04521,0.04950545454545454,0.2882,2026-04-21,,,,0.1742,0.2329,0.2882,-0.515,50.0,0.3249,0.0712,6
wheat,rostov_ru,2026,5,May 2026,22,50.6,0.3468,0.3272136363636364,0.025159761817605,0.2686,0.3468,0.0681,0.04878636363636364,0.01314,0.024169523809523814,0.3468,2026-05-23,,,,0.1742,0.256,0.3451,-1.085,33.3,0.4583,0.1027,6
wheat,rostov_ru,2026,6,Jun 2026,1,51.1,0.3515,0.3515,,0.3515,0.3515,0.0759,0.0759,0.01306,0.01306,0.3515,2026-05-23,,,,0.1742,0.256,0.3475,-0.589,33.3,0.4166,0.1105,6
