commodity,region_id,season_year,year,month,month_label,ndvi_mean,ndvi_max,ndvi_min,ndvi_std,lswi_mean,lswi_max,velocity_mean,velocity_max,velocity_min,n_composites
corn,iowa_us,2015,2015,8,Aug 2015,0.7821,0.7821,0.7821,,0.402,0.402,,,,2
corn,iowa_us,2015,2015,9,Sep 2015,0.5286,0.7122,0.345,0.2596,0.0654,0.2317,,,,2
corn,iowa_us,2016,2016,5,May 2016,0.4115,0.4377,0.3853,0.037,-0.0824,-0.0532,0.04076,0.04909,0.03244,2
corn,iowa_us,2016,2016,6,Jun 2016,0.5846,0.6422,0.527,0.0814,0.0501,0.1097,0.18236,0.23087,0.13385,2
corn,iowa_us,2016,2016,7,Jul 2016,0.7767,0.7869,0.7666,0.0143,0.2942,0.3365,0.0795,0.17592,-0.01693,2
corn,iowa_us,2016,2016,8,Aug 2016,0.7195,0.7231,0.7158,0.0051,0.3181,0.3439,0.06063,0.11208,0.00918,2
corn,iowa_us,2016,2016,9,Sep 2016,0.5948,0.67,0.5197,0.1063,0.1102,0.1183,-0.23203,-0.23203,-0.23203,2
corn,iowa_us,2017,2017,5,May 2017,0.4013,0.4208,0.3818,0.0276,-0.0751,-0.0656,0.04996,0.10147,-0.00154,2
corn,iowa_us,2017,2017,6,Jun 2017,0.5833,0.6794,0.4871,0.136,0.0735,0.1553,0.11539,0.11539,0.11539,2
corn,iowa_us,2017,2017,7,Jul 2017,0.7349,0.7442,0.7256,0.0132,0.2199,0.2219,0.07166,0.12006,0.02326,2
corn,iowa_us,2017,2017,8,Aug 2017,0.7361,0.7597,0.7125,0.0334,0.2862,0.3481,-0.04154,-0.03495,-0.04813,2
corn,iowa_us,2017,2017,9,Sep 2017,0.6453,0.7545,0.536,0.1544,0.1228,0.2238,-0.07106,-0.03533,-0.10679,2
corn,iowa_us,2018,2018,5,May 2018,0.4355,0.4852,0.3858,0.0702,-0.0645,-0.0206,0.08239,0.08518,0.07959,2
corn,iowa_us,2018,2018,6,Jun 2018,0.6255,0.7146,0.5364,0.126,0.1368,0.2383,0.15969,0.20166,0.11773,2
corn,iowa_us,2018,2018,7,Jul 2018,0.7542,0.7581,0.7504,0.0055,0.2766,0.2849,0.00374,0.02595,-0.01848,2
corn,iowa_us,2018,2018,8,Aug 2018,0.7486,0.7713,0.726,0.032,0.2887,0.3218,-0.00341,0.01761,-0.02442,2
corn,iowa_us,2018,2018,9,Sep 2018,0.6808,0.7015,0.6601,0.0293,0.1368,0.1408,-0.03239,0.00777,-0.07256,2
corn,iowa_us,2019,2019,5,May 2019,0.3329,0.3397,0.326,0.0097,-0.1034,-0.099,0.04738,0.0899,0.00487,2
corn,iowa_us,2019,2019,6,Jun 2019,0.4399,0.53,0.3498,0.1274,-0.0217,0.0766,0.15063,0.23293,0.06833,2
corn,iowa_us,2019,2019,7,Jul 2019,0.7078,0.7483,0.6672,0.0574,0.2125,0.2554,0.12409,0.19357,0.0546,2
corn,iowa_us,2019,2019,8,Aug 2019,0.7714,0.7973,0.7455,0.0366,0.3144,0.3298,-0.02329,0.02338,-0.06996,2
corn,iowa_us,2019,2019,9,Sep 2019,0.6767,0.7011,0.6523,0.0345,0.2,0.2382,-0.05044,-0.01035,-0.09053,2
corn,iowa_us,2021,2021,5,May 2021,0.3642,0.4169,0.3116,0.0745,-0.1195,-0.0897,0.06236,0.08536,0.03937,2
corn,iowa_us,2021,2021,6,Jun 2021,0.5834,0.6324,0.5343,0.0694,0.0811,0.1388,0.07648,0.12541,0.02755,2
corn,iowa_us,2021,2021,7,Jul 2021,0.7349,0.7464,0.7235,0.0162,0.3018,0.3376,0.03814,0.11037,-0.03409,2
corn,iowa_us,2021,2021,8,Aug 2021,0.766,0.7789,0.7531,0.0182,0.2791,0.3022,0.02675,0.08365,-0.03016,2
corn,iowa_us,2021,2021,9,Sep 2021,0.5895,0.5961,0.583,0.0093,0.1003,0.1218,0.02563,0.08678,-0.03551,2
corn,iowa_us,2022,2022,5,May 2022,0.257,0.2779,0.2362,0.0295,-0.0598,-0.0382,0.06875,0.07687,0.06064,2
corn,iowa_us,2022,2022,6,Jun 2022,0.3716,0.4322,0.311,0.0857,0.0382,0.0983,0.07559,0.1034,0.04778,2
corn,iowa_us,2022,2022,7,Jul 2022,0.5458,0.561,0.5306,0.0215,0.2246,0.2502,0.05739,0.09024,0.02453,2
corn,iowa_us,2022,2022,8,Aug 2022,0.5185,0.5266,0.5104,0.0114,0.2151,0.2222,-0.02774,-0.01211,-0.04336,2
corn,iowa_us,2022,2022,9,Sep 2022,0.3823,0.4151,0.3495,0.0464,0.0816,0.1204,-0.06598,-0.05487,-0.07709,2
corn,iowa_us,2023,2023,5,May 2023,0.2556,0.3125,0.1987,0.0804,-0.0627,-0.0056,0.04281,0.06252,0.02311,2
corn,iowa_us,2023,2023,6,Jun 2023,0.4024,0.4417,0.3631,0.0556,0.0721,0.1198,0.04671,0.05227,0.04115,2
corn,iowa_us,2023,2023,7,Jul 2023,0.5464,0.5475,0.5453,0.0016,0.2421,0.2444,0.05161,0.09404,0.00918,2
corn,iowa_us,2023,2023,8,Aug 2023,0.5094,0.5474,0.4714,0.0538,0.2048,0.2473,-0.05386,-0.0095,-0.09821,2
corn,iowa_us,2023,2023,9,Sep 2023,0.3418,0.3806,0.3031,0.0548,0.0345,0.0953,-0.10198,-0.09501,-0.10894,2
corn,iowa_us,2025,2025,5,May 2025,0.2734,0.3159,0.2309,0.0601,-0.0454,0.0081,0.04828,0.06032,0.03624,2
corn,iowa_us,2025,2025,6,Jun 2025,0.4263,0.4624,0.3902,0.0511,0.0935,0.1201,0.09061,0.1088,0.07242,2
corn,iowa_us,2025,2025,7,Jul 2025,0.578,0.6011,0.5549,0.0327,0.2712,0.3071,0.10683,0.15502,0.05864,2
corn,iowa_us,2025,2025,8,Aug 2025,0.5509,0.568,0.5337,0.0243,0.2479,0.2659,-0.02516,-0.0173,-0.03302,2
corn,iowa_us,2025,2025,9,Sep 2025,0.3384,0.4097,0.2671,0.1008,0.0404,0.1278,-0.1545,-0.1149,-0.19409,2
