commodity,region_id,season_year,year,month,month_label,ndvi_mean,ndvi_max,ndvi_min,ndvi_std,lswi_mean,lswi_max,velocity_mean,velocity_max,velocity_min,n_composites
soy,illinois_us,2016,2016,5,May 2016,0.4628,0.4728,0.4527,0.0142,-0.015,-0.0126,0.02251,0.02251,0.02251,2
soy,illinois_us,2016,2016,6,Jun 2016,0.6913,0.779,0.6037,0.1239,0.1782,0.2461,-0.0435,-0.0435,-0.0435,2
soy,illinois_us,2016,2016,7,Jul 2016,0.7698,0.7928,0.7468,0.0326,0.3508,0.363,-0.20951,-0.20951,-0.20951,2
soy,illinois_us,2016,2016,8,Aug 2016,0.6981,0.7815,0.6147,0.118,0.2766,0.3462,,,,2
soy,illinois_us,2016,2016,9,Sep 2016,0.6326,0.6345,0.6307,0.0027,0.1273,0.163,-0.08825,-0.00959,-0.1669,2
soy,illinois_us,2016,2016,10,Oct 2016,0.333,0.333,0.333,,-0.0818,-0.0818,-0.12189,-0.12189,-0.12189,1
soy,illinois_us,2017,2017,5,May 2017,0.6138,0.6893,0.5384,0.1067,0.1458,0.2101,-0.04524,-0.04524,-0.04524,2
soy,illinois_us,2017,2017,6,Jun 2017,0.5211,0.6393,0.4028,0.1673,0.0352,0.1477,0.08235,0.08823,0.07648,2
soy,illinois_us,2017,2017,7,Jul 2017,0.7994,0.8002,0.7987,0.0011,0.3104,0.3293,0.04362,0.07716,0.01009,2
soy,illinois_us,2017,2017,8,Aug 2017,0.7411,0.7546,0.7276,0.0191,0.2981,0.3076,-0.11895,-0.02938,-0.20851,2
soy,illinois_us,2017,2017,9,Sep 2017,0.6429,0.7915,0.4943,0.2101,0.1119,0.2408,-0.018,0.0522,-0.0882,2
soy,illinois_us,2017,2017,10,Oct 2017,0.4209,0.4908,0.351,0.0988,-0.0596,0.024,-0.12036,-0.07052,-0.17019,2
soy,illinois_us,2019,2019,5,May 2019,0.5693,0.6089,0.5297,0.056,0.113,0.1502,0.14236,0.2955,-0.01078,2
soy,illinois_us,2019,2019,6,Jun 2019,0.5052,0.5417,0.4687,0.0516,0.0461,0.0689,0.02336,0.04168,0.00504,2
soy,illinois_us,2019,2019,7,Jul 2019,0.6655,0.7269,0.6042,0.0867,0.1855,0.2689,0.09566,0.11185,0.07946,2
soy,illinois_us,2019,2019,8,Aug 2019,0.7671,0.7713,0.7628,0.006,0.3,0.3007,0.02439,0.04561,0.00316,2
soy,illinois_us,2019,2019,9,Sep 2019,0.6106,0.653,0.5683,0.0599,0.1386,0.1498,-0.05733,0.11165,-0.22631,2
soy,illinois_us,2019,2019,10,Oct 2019,0.3802,0.4713,0.289,0.1289,0.079,0.1234,-0.24707,-0.17068,-0.32346,2
soy,illinois_us,2020,2020,5,May 2020,0.4257,0.463,0.3883,0.0528,-0.0109,0.0256,0.02983,0.05191,0.00775,2
soy,illinois_us,2020,2020,6,Jun 2020,0.6113,0.626,0.5967,0.0207,0.1462,0.1696,0.10243,0.11505,0.08982,2
soy,illinois_us,2020,2020,7,Jul 2020,0.7865,0.8197,0.7534,0.0469,0.3036,0.3425,0.0665,0.14149,-0.00849,2
soy,illinois_us,2020,2020,8,Aug 2020,0.7811,0.7977,0.7645,0.0235,0.3056,0.3289,-0.01422,0.0011,-0.02954,2
soy,illinois_us,2020,2020,9,Sep 2020,0.5826,0.6435,0.5216,0.0862,0.1188,0.1773,-0.12946,-0.11625,-0.14267,2
soy,illinois_us,2020,2020,10,Oct 2020,0.4314,0.4714,0.3914,0.0566,-0.0495,-0.0389,-0.11198,-0.09098,-0.13298,2
soy,illinois_us,2022,2022,5,May 2022,0.3116,0.3188,0.3044,0.0102,0.0263,0.0374,0.04331,0.07547,0.01115,2
