commodity,region_id,season_year,year,month,month_label,ndvi_mean,ndvi_max,ndvi_min,ndvi_std,lswi_mean,lswi_max,velocity_mean,velocity_max,velocity_min,n_composites
soy,mato_grosso_br,2016,2016,10,Oct 2016,0.6141,0.6367,0.5914,0.032,0.0772,0.0925,-0.01888,0.00015,-0.03792,2
soy,mato_grosso_br,2016,2016,11,Nov 2016,0.6221,0.6998,0.5445,0.1098,0.1067,0.2029,0.0504,0.08805,0.01276,2
soy,mato_grosso_br,2016,2016,12,Dec 2016,0.6555,0.7073,0.6037,0.0733,0.1642,0.2053,0.06498,0.0697,0.06026,2
soy,mato_grosso_br,2016,2017,1,Jan 2017,0.6612,0.6887,0.6337,0.0389,0.1198,0.1313,-0.00627,-0.00627,-0.00627,2
soy,mato_grosso_br,2016,2017,2,Feb 2017,0.6663,0.6854,0.6471,0.0271,0.1823,0.183,0.06441,0.06441,0.06441,2
soy,mato_grosso_br,2016,2017,3,Mar 2017,0.7135,0.7266,0.7004,0.0185,0.1872,0.1881,0.18239,0.18239,0.18239,2
soy,mato_grosso_br,2017,2017,10,Oct 2017,0.5284,0.5349,0.5218,0.0093,0.0334,0.0431,0.0617,0.06657,0.05683,2
soy,mato_grosso_br,2017,2017,11,Nov 2017,0.6119,0.6207,0.6032,0.0124,0.1356,0.1357,0.00811,0.09146,-0.07525,2
soy,mato_grosso_br,2017,2017,12,Dec 2017,0.722,0.7382,0.7058,0.0229,0.208,0.2131,0.06938,0.11856,0.02021,2
soy,mato_grosso_br,2017,2018,1,Jan 2018,0.6848,0.6858,0.6838,0.0014,0.1913,0.2019,0.03646,0.05568,0.01723,2
soy,mato_grosso_br,2017,2018,2,Feb 2018,0.6571,0.6864,0.6278,0.0414,0.1586,0.1979,-0.04822,-0.01603,-0.08041,2
soy,mato_grosso_br,2017,2018,3,Mar 2018,0.6929,0.7238,0.662,0.0437,0.1853,0.2044,-0.1313,-0.04778,-0.21481,2
soy,mato_grosso_br,2019,2019,10,Oct 2019,0.5308,0.5568,0.5048,0.0368,-0.004,-0.0003,0.05188,0.07184,0.03193,2
soy,mato_grosso_br,2019,2019,11,Nov 2019,0.5961,0.6175,0.5747,0.0303,0.0768,0.0909,0.03836,0.07375,0.00297,2
soy,mato_grosso_br,2019,2019,12,Dec 2019,0.6731,0.7016,0.6445,0.0404,0.1629,0.208,0.04112,0.04474,0.03749,2
soy,mato_grosso_br,2019,2020,1,Jan 2020,0.6779,0.6953,0.6606,0.0246,0.1638,0.1712,-0.02261,0.04571,-0.09092,2
soy,mato_grosso_br,2019,2020,2,Feb 2020,0.6556,0.6756,0.6356,0.0283,0.1346,0.1633,0.01585,0.08862,-0.05691,2
soy,mato_grosso_br,2019,2020,3,Mar 2020,0.679,0.6983,0.6598,0.0273,0.1421,0.1587,-0.00756,0.00304,-0.01816,2
soy,mato_grosso_br,2021,2021,10,Oct 2021,0.5571,0.6286,0.4857,0.101,0.0479,0.1219,0.09313,0.1312,0.05507,2
soy,mato_grosso_br,2021,2021,11,Nov 2021,0.6247,0.6647,0.5846,0.0566,0.1345,0.166,0.0988,0.10877,0.08882,2
soy,mato_grosso_br,2021,2021,12,Dec 2021,0.685,0.6875,0.6825,0.0035,0.1872,0.1968,0.02129,0.02896,0.01363,2
soy,mato_grosso_br,2021,2022,1,Jan 2022,0.6096,0.7249,0.4942,0.1632,0.1714,0.2066,-0.12171,0.02095,-0.26437,2
soy,mato_grosso_br,2021,2022,2,Feb 2022,0.4215,0.4484,0.3947,0.038,0.1121,0.1408,0.04954,0.0917,0.00738,2
soy,mato_grosso_br,2021,2022,3,Mar 2022,0.4037,0.4055,0.402,0.0025,0.0884,0.11,0.02877,0.03217,0.02537,2
soy,mato_grosso_br,2023,2023,10,Oct 2023,0.3421,0.3669,0.3172,0.0352,-0.0128,0.0178,0.00477,0.02911,-0.01957,2
soy,mato_grosso_br,2023,2023,11,Nov 2023,0.4174,0.4204,0.4145,0.0042,0.0854,0.0873,0.07161,0.11869,0.02452,2
soy,mato_grosso_br,2023,2023,12,Dec 2023,0.4516,0.4517,0.4515,0.0001,0.12,0.1344,0.0004,0.01191,-0.0111,2
soy,mato_grosso_br,2023,2024,1,Jan 2024,0.4558,0.4621,0.4494,0.009,0.1195,0.1204,0.02414,0.03602,0.01227,2
soy,mato_grosso_br,2023,2024,2,Feb 2024,0.4395,0.455,0.4241,0.0218,0.1105,0.1149,-0.0239,0.01358,-0.06138,2
soy,mato_grosso_br,2023,2024,3,Mar 2024,0.4487,0.4622,0.4353,0.0191,0.125,0.1448,-0.00591,-0.00591,-0.00591,2
soy,mato_grosso_br,2025,2025,10,Oct 2025,0.3302,0.3436,0.3167,0.019,-0.0178,-0.0134,0.02648,0.02862,0.02433,2
soy,mato_grosso_br,2025,2025,11,Nov 2025,0.414,0.4367,0.3913,0.0321,0.0592,0.0832,0.03367,0.03432,0.03301,2
soy,mato_grosso_br,2025,2025,12,Dec 2025,0.4709,0.4729,0.4689,0.0029,0.1518,0.1549,0.0292,0.03317,0.02524,2
soy,mato_grosso_br,2025,2026,1,Jan 2026,0.4838,0.4974,0.4701,0.0194,0.1549,0.1653,0.01734,0.03991,-0.00524,2
soy,mato_grosso_br,2025,2026,2,Feb 2026,0.4483,0.4857,0.4108,0.053,0.1361,0.166,7e-05,0.00928,-0.00913,2
