commodity,region_id,season_year,year,month,month_label,ndvi_mean,ndvi_max,ndvi_min,ndvi_std,lswi_mean,lswi_max,velocity_mean,velocity_max,velocity_min,n_composites
wheat,kansas_us,2016,2016,3,Mar 2016,0.3443,0.3993,0.2894,0.0777,-0.1365,-0.1108,,,,2
wheat,kansas_us,2016,2016,4,Apr 2016,0.3458,0.3522,0.3394,0.009,-0.081,-0.058,,,,2
wheat,kansas_us,2016,2016,5,May 2016,0.5304,0.5404,0.5203,0.0142,0.0469,0.0739,,,,2
wheat,kansas_us,2016,2016,6,Jun 2016,0.4637,0.4693,0.4581,0.0079,-0.0202,-0.0064,0.03265,0.03265,0.03265,2
wheat,kansas_us,2017,2017,3,Mar 2017,0.281,0.3143,0.2477,0.0471,-0.1297,-0.0998,-0.02792,0.03549,-0.09132,2
wheat,kansas_us,2017,2017,4,Apr 2017,0.3866,0.4153,0.358,0.0405,-0.0862,-0.0593,0.06077,0.10887,0.01267,2
wheat,kansas_us,2017,2017,5,May 2017,0.4159,0.4811,0.3508,0.0922,-0.0437,-0.0021,0.03898,0.06511,0.01285,2
wheat,kansas_us,2017,2017,6,Jun 2017,0.4103,0.478,0.3425,0.0959,-0.0567,-0.019,-0.05476,-0.02196,-0.08755,2
wheat,kansas_us,2018,2018,3,Mar 2018,0.2347,0.2537,0.2157,0.0269,-0.1913,-0.1907,0.00674,0.01063,0.00285,2
wheat,kansas_us,2018,2018,4,Apr 2018,0.2894,0.3094,0.2694,0.0283,-0.1301,-0.1046,0.0314,0.05701,0.00579,2
wheat,kansas_us,2018,2018,5,May 2018,0.3974,0.4312,0.3636,0.0478,-0.0718,-0.0579,0.05138,0.05813,0.04463,2
wheat,kansas_us,2018,2018,6,Jun 2018,0.3987,0.413,0.3845,0.0202,-0.0692,-0.063,0.00961,0.02559,-0.00638,2
wheat,kansas_us,2019,2019,3,Mar 2019,0.2505,0.2737,0.2274,0.0327,-0.159,-0.1488,-0.02592,0.04624,-0.09809,2
wheat,kansas_us,2019,2019,4,Apr 2019,0.3376,0.3549,0.3203,0.0245,-0.1279,-0.098,0.04476,0.05114,0.03837,2
wheat,kansas_us,2019,2019,5,May 2019,0.4513,0.4526,0.4499,0.0019,0.0116,0.0267,0.03178,0.04586,0.0177,2
wheat,kansas_us,2019,2019,6,Jun 2019,0.4265,0.4782,0.3747,0.0732,-0.0252,0.0069,0.0168,0.02309,0.01052,2
wheat,kansas_us,2020,2020,3,Mar 2020,0.2626,0.2916,0.2337,0.041,-0.1641,-0.159,0.00973,0.01053,0.00893,2
wheat,kansas_us,2020,2020,4,Apr 2020,0.2765,0.2854,0.2676,0.0126,-0.1572,-0.1569,0.02338,0.02364,0.02313,2
wheat,kansas_us,2020,2020,5,May 2020,0.3298,0.3666,0.293,0.0521,-0.1063,-0.0806,0.03604,0.03758,0.0345,2
wheat,kansas_us,2020,2020,6,Jun 2020,0.4702,0.4947,0.4457,0.0346,0.0116,0.0407,-0.01462,-0.01223,-0.01702,2
wheat,kansas_us,2021,2021,3,Mar 2021,0.2372,0.2586,0.2159,0.0302,-0.1721,-0.1638,0.00769,0.0159,-0.00053,2
wheat,kansas_us,2021,2021,4,Apr 2021,0.3068,0.3146,0.299,0.011,-0.1245,-0.1181,0.02709,0.03805,0.01613,2
wheat,kansas_us,2021,2021,5,May 2021,0.4244,0.4714,0.3774,0.0665,-0.0177,0.0014,0.05914,0.06527,0.05302,2
wheat,kansas_us,2021,2021,6,Jun 2021,0.4601,0.5182,0.402,0.0821,-0.0046,0.0161,0.01803,0.08387,-0.0478,2
wheat,kansas_us,2023,2023,3,Mar 2023,0.1424,0.1553,0.1296,0.0182,-0.1474,-0.1353,0.01091,0.02049,0.00133,2
wheat,kansas_us,2023,2023,4,Apr 2023,0.1923,0.2078,0.1768,0.0219,-0.1075,-0.0958,0.01569,0.02274,0.00865,2
wheat,kansas_us,2023,2023,5,May 2023,0.2933,0.3149,0.2716,0.0306,-0.0283,-0.0064,0.05004,0.08037,0.01971,2
wheat,kansas_us,2023,2023,6,Jun 2023,0.344,0.3736,0.3143,0.042,0.0012,0.0301,0.03066,0.03956,0.02175,2
wheat,kansas_us,2024,2024,3,Mar 2024,0.1854,0.1985,0.1724,0.0184,-0.119,-0.0996,0.02721,0.03705,0.01737,2
wheat,kansas_us,2024,2024,4,Apr 2024,0.2464,0.271,0.2218,0.0347,-0.0609,-0.0278,0.02989,0.03033,0.02944,2
wheat,kansas_us,2024,2024,5,May 2024,0.2815,0.2968,0.2662,0.0217,-0.0378,-0.0277,0.03298,0.04342,0.02255,2
wheat,kansas_us,2024,2024,6,Jun 2024,0.2731,0.2786,0.2677,0.0077,-0.0467,-0.0419,0.01149,0.01732,0.00566,2
