commodity,region_id,season_year,year,month,month_label,ndvi_mean,ndvi_max,ndvi_min,ndvi_std,lswi_mean,lswi_max,velocity_mean,velocity_max,velocity_min,n_composites
wheat,rostov_ru,2015,2015,7,Jul 2015,0.4829,0.4829,0.4829,,-0.0137,-0.0137,,,,1
wheat,rostov_ru,2016,2016,3,Mar 2016,0.1678,0.3058,0.0297,0.1952,0.1615,0.4082,,,,2
wheat,rostov_ru,2016,2016,4,Apr 2016,0.4342,0.5332,0.3351,0.1401,-0.0196,0.0952,0.04754,0.04754,0.04754,2
wheat,rostov_ru,2016,2016,5,May 2016,0.5373,0.5446,0.53,0.0104,0.1366,0.149,-0.01711,0.02698,-0.0612,2
wheat,rostov_ru,2016,2016,6,Jun 2016,0.463,0.4754,0.4506,0.0175,0.093,0.153,-0.11002,-0.11002,-0.11002,2
wheat,rostov_ru,2016,2016,7,Jul 2016,0.4035,0.4299,0.377,0.0374,0.0393,0.0996,-0.02216,-0.0136,-0.03072,2
wheat,rostov_ru,2017,2017,3,Mar 2017,0.25,0.2768,0.2232,0.0379,-0.2014,-0.193,0.02705,0.04606,0.00805,2
wheat,rostov_ru,2017,2017,4,Apr 2017,0.3645,0.4384,0.2905,0.1045,-0.0648,0.0049,0.02679,0.06906,-0.01548,2
wheat,rostov_ru,2017,2017,5,May 2017,0.5493,0.5821,0.5164,0.0464,0.1009,0.1505,-0.00773,0.0518,-0.06725,2
wheat,rostov_ru,2017,2017,6,Jun 2017,0.5209,0.5489,0.493,0.0395,0.0477,0.06,-0.15708,-0.04888,-0.26528,2
wheat,rostov_ru,2017,2017,7,Jul 2017,0.3793,0.3963,0.3624,0.024,-0.0192,-0.0157,-0.04634,-0.03991,-0.05277,2
wheat,rostov_ru,2019,2019,3,Mar 2019,0.3185,0.3317,0.3052,0.0187,-0.1182,-0.0986,0.09069,0.12427,0.0571,2
wheat,rostov_ru,2019,2019,4,Apr 2019,0.356,0.4247,0.2873,0.0971,-0.0358,0.0067,0.05128,0.05761,0.04494,2
wheat,rostov_ru,2019,2019,5,May 2019,0.542,0.5586,0.5254,0.0235,0.0964,0.0994,0.06059,0.06512,0.05606,2
wheat,rostov_ru,2019,2019,6,Jun 2019,0.4683,0.47,0.4666,0.0024,0.0697,0.0767,-0.10115,-0.08075,-0.12154,2
wheat,rostov_ru,2019,2019,7,Jul 2019,0.374,0.3954,0.3527,0.0302,-0.0261,-0.01,0.02246,0.04767,-0.00276,2
wheat,rostov_ru,2021,2021,3,Mar 2021,0.2371,0.2518,0.2224,0.0208,-0.1668,-0.1468,-0.03717,-0.01161,-0.06272,2
wheat,rostov_ru,2021,2021,4,Apr 2021,0.2632,0.3245,0.2019,0.0867,-0.1741,-0.1279,0.02892,0.11071,-0.05286,2
wheat,rostov_ru,2021,2021,5,May 2021,0.4544,0.4564,0.4524,0.0029,0.0187,0.0598,0.06195,0.136,-0.01209,2
wheat,rostov_ru,2021,2021,6,Jun 2021,0.4933,0.5628,0.4237,0.0983,0.1053,0.1402,-0.05156,0.01339,-0.11652,2
wheat,rostov_ru,2021,2021,7,Jul 2021,0.4107,0.4237,0.3976,0.0185,0.0559,0.0792,-0.02589,-0.0168,-0.03498,2
wheat,rostov_ru,2023,2023,3,Mar 2023,0.1248,0.1264,0.1233,0.0022,-0.0753,-0.0631,0.02834,0.04428,0.0124,2
wheat,rostov_ru,2023,2023,4,Apr 2023,0.2585,0.2774,0.2396,0.0268,-0.0309,-0.0077,0.06636,0.09061,0.0421,2
wheat,rostov_ru,2023,2023,5,May 2023,0.3392,0.3429,0.3355,0.0052,0.076,0.0912,0.05159,0.08188,0.02129,2
wheat,rostov_ru,2023,2023,6,Jun 2023,0.2924,0.3275,0.2573,0.0496,0.0353,0.0518,-0.07058,-0.03817,-0.10299,2
wheat,rostov_ru,2023,2023,7,Jul 2023,0.2413,0.242,0.2407,0.0009,-0.011,-0.0098,-0.01423,-0.01248,-0.01598,2
wheat,rostov_ru,2025,2025,3,Mar 2025,0.1216,0.1331,0.1101,0.0162,-0.1209,-0.1201,0.01388,0.02924,-0.00148,2
wheat,rostov_ru,2025,2025,4,Apr 2025,0.2731,0.3125,0.2337,0.0557,-0.0224,0.0145,0.07951,0.09439,0.06462,2
wheat,rostov_ru,2025,2025,5,May 2025,0.3277,0.3347,0.3208,0.0099,0.0601,0.0718,0.00969,0.01375,0.00562,2
wheat,rostov_ru,2025,2025,6,Jun 2025,0.2615,0.2964,0.2266,0.0494,0.0057,0.0362,-0.05441,-0.03192,-0.07691,2
wheat,rostov_ru,2025,2025,7,Jul 2025,0.221,0.2317,0.2103,0.0151,-0.0669,-0.0662,-0.01799,-0.00258,-0.0334,2
